"SNAME","CNAME","DNAME","API13","API12","SD_SIG","EL_SIG","MEALS","YR_RND","ACS_K3","ACS_46","ENROLL","PCST_E28","alreadyInRIF","aiRIFtxt","mealsQuant","pcst_e28Quant","letter","LAT","LONG"
"MABEL M. PAINE ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",880,"881","YES","YES",31,"NO","26","29",294,133.92,0,"No",0,2,"O","33.89672","-117.814541"
"MACARTHUR ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",776,"795","YES","YES",64,"NO","25","31",356,163.2,0,"No",1,3,"L","33.839936","-118.113466"
"MACARTHUR PARK ELEMENTARY SCHOOL FOR THE","LOS ANGELES","LOS ANGELES UNIFIED",725,"B","NO","NO",87,"NO","24","25",246,106.08,0,"No",2,1,"F","34.05728","-118.279401"
"MACY ELEMENTARY","LOS ANGELES","LOWELL JOINT",891,"912","YES","NO",22,"NO","25","29",451,210.24,0,"No",0,4,"Out","33.94508","-117.972361"
"MADISON (JAMES) ELEMENTARY","ORANGE","ANAHEIM CITY",799,"780","YES","YES",83,"NO","26","30",446,200.16,0,"No",2,4,"Out","33.80956","-117.948991"
"MADISON ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",886,"891","YES","NO",48,"NO","24","30",396,184.32,0,"No",1,4,"Out","33.838687","-118.158371"
"MADISON ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",802,"836","YES","YES",81,"NO","23","28",411,190.08,0,"No",2,4,"Out","33.945736","-118.214465"
"MADISON ELEMENTARY","LOS ANGELES","PASADENA UNIFIED",714,"713","YES","YES",98,"NO","23","26",325,152.16,0,"No",3,3,"D","34.1589","-118.14"
"MADISON ELEMENTARY","LOS ANGELES","POMONA UNIFIED",685,"709","YES","YES",97,"NO","30","31",439,195.84,0,"No",3,4,"Out","34.04504","-117.746671"
"MADISON ELEMENTARY","LOS ANGELES","REDONDO BEACH UNIFIED",910,"906","YES","NO",30,"NO","27","31",278,129.12,0,"No",0,2,"O","33.8752","-118.367451"
"MADISON ELEMENTARY","ORANGE","SANTA ANA UNIFIED",809,"842","YES","YES",96,"NO","28","24",686,312,0,"No",3,4,"Out","33.72921","-117.857411"
"MAGNOLIA AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",771,"704","YES","YES",100,"NO","19","23",775,348,0,"No",3,4,"Out","34.04373","-118.287441"
"MAGNOLIA ELEMENTARY","LOS ANGELES","AZUSA UNIFIED",729,"765","YES","YES",84,"NO","22","26",204,92.64,1,"Yes",2,0,"E","34.11765","-117.888671"
"MAGNOLIA SCIENCE ACADEMY 7","LOS ANGELES","LOS ANGELES UNIFIED",904,"906","NO","NO",73,"NO","24","22",116,53.76,0,"No",1,0,"I","34.22185","-118.533641"
"MAIN STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",744,"740","YES","YES",99,"NO","19","23",512,226.56,0,"No",3,4,"Out","33.99475","-118.272601"
"MAJOR LYNN MOKLER","LOS ANGELES","PARAMOUNT UNIFIED",800,"795","YES","YES",92,"NO","20","21",439,196.32,0,"No",2,4,"Out","33.882188","-118.148518"
"MALABAR STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",753,"763","YES","YES",100,"NO","20","21",537,243.84,0,"No",3,4,"Out","34.04426","-118.194451"
"MAMIE L. NORTHCUTT ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",821,"834","YES","YES",64,"NO","29","28",346,155.04,0,"No",1,3,"L","33.719","-117.931701"
"MANCHESTER AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",764,"782","YES","YES",100,"NO","19","23",696,300.96,1,"Yes",3,4,"Out","33.95934","-118.285801"
"MANHATTAN PLACE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",731,"672","YES","NO",100,"NO","20","23",200,87.84,1,"Yes",3,0,"A","33.9485","-118.310691"
"MANN (HORACE) ELEMENTARY","ORANGE","ANAHEIM CITY",728,"749","YES","YES",96,"YES","30","30",820,372,0,"No",3,4,"Out","33.84689","-117.925981"
"MANN ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",795,"815","YES","YES",84,"NO","29","35",216,100.32,0,"No",2,0,"E","33.76537","-118.1542"
"MANUEL ESQUEDA ELEMENTARY","ORANGE","SANTA ANA UNIFIED",775,"825","YES","YES",94,"NO","27","32",737,335.04,0,"No",3,4,"Out","33.71666","-117.870131"
"MANZANITA ELEMENTARY","LOS ANGELES","COVINA-VALLEY UNIFIED",739,"742","YES","YES",86,"NO","21","20",216,96,0,"No",2,0,"E","34.088945","-117.938573"
"MANZANITA ELEMENTARY","LOS ANGELES","PALMDALE ELEMENTARY",702,"724","YES","YES",92,"NO","29","23",534,214.08,0,"No",2,4,"Out","34.584778","-118.069136"
"MAPLE ELEMENTARY","ORANGE","FULLERTON ELEMENTARY",772,"783","YES","YES",91,"NO","23","30",274,122.4,0,"No",2,1,"F","33.86569","-117.920651"
"MAPLE HILL ELEMENTARY","LOS ANGELES","WALNUT VALLEY UNIFIED",930,"911","YES","YES",20,"NO","25","28",397,174.72,0,"No",0,4,"Out","33.996472","-117.82524"
"MAR VISTA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",913,"921","NO","NO",16,"NO","22","25",417,192,0,"No",0,4,"Out","34.01637","-118.434211"
"MARBLEHEAD ELEMENTARY","ORANGE","CAPISTRANO UNIFIED",769,"796","YES","YES",43,"NO","26","29",382,178.08,0,"No",1,4,"Out","33.450544","-117.621787"
"MARENGO ELEMENTARY","LOS ANGELES","SOUTH PASADENA UNIFIED",958,"956","YES","YES",16,"NO","20","36",463,217.92,0,"No",0,4,"Out","34.109341","-118.146531"
"MARGARET HEATH ELEMENTARY","LOS ANGELES","BALDWIN PARK UNIFIED",748,"768","YES","YES",89,"NO","14","23",335,153.6,0,"No",2,3,"H","34.10229","-117.962501"
"MARGARET LANDELL ELEMENTARY","ORANGE","CYPRESS ELEMENTARY",942,"934","NO","YES",14,"NO","30","30",511,235.2,0,"No",0,4,"Out","33.82124","-118.055601"
"MARGUERITA ELEMENTARY","LOS ANGELES","ALHAMBRA UNIFIED",818,"828","YES","YES",75,"NO","25","26",545,247.68,1,"Yes",1,4,"Out","34.074856","-118.1385"
"MARIAN BERGESON ELEMENTARY","ORANGE","CAPISTRANO UNIFIED",879,"891","NO","NO",19,"NO","22","32",376,175.68,0,"No",0,4,"Out","33.55297","-117.688561"
"MARIANNA AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",794,"795","YES","YES",100,"NO","21","29",291,133.92,1,"Yes",3,2,"C","34.03575","-118.175021"
"MARINERS ELEMENTARY","ORANGE","NEWPORT-MESA UNIFIED",933,"934","NO","NO",10,"NO","24","32",578,269.76,0,"No",0,4,"Out","33.63158","-117.904091"
"MARIPOSA-NABI PRIMARY CENTER","LOS ANGELES","LOS ANGELES UNIFIED",789,"810","YES","YES",100,"NO","21","N/A",79,35.52,0,"No",3,0,"A","34.05308","-118.299241"
"MARIPOSA ELEMENTARY","LOS ANGELES","LANCASTER ELEMENTARY",726,"757","YES","YES",86,"NO","30","21",423,175.68,0,"No",2,4,"Out","34.71344","-118.145723"
"MARIPOSA ELEMENTARY","ORANGE","BREA-OLINDA UNIFIED",912,"919","YES","YES",21,"NO","29","30",382,180,0,"No",0,4,"Out","33.93529","-117.897671"
"MARIPOSA SCHOOL OF GLOBAL EDUCATION","LOS ANGELES","LAS VIRGENES UNIFIED",842,"806","NO","NO",4,"NO","21","23",222,103.68,0,"No",0,1,"N","34.161383","-118.755598"
"MARJORIE VEEH ELEMENTARY","ORANGE","TUSTIN UNIFIED",754,"768","YES","YES",81,"NO","25","25",304,134.4,0,"No",2,2,"G","33.73532","-117.809391"
"MARK KEPPEL","LOS ANGELES","PARAMOUNT UNIFIED",804,"798","YES","YES",93,"NO","30","32",384,172.8,0,"No",3,4,"Out","33.894058","-118.18058"
"MARK KEPPEL ELEMENTARY","LOS ANGELES","GLENDALE UNIFIED",890,"884","YES","YES",50,"NO","23","29",619,292.32,0,"No",1,4,"Out","34.165166","-118.272319"
"MARK TWAIN ELEMENTARY","LOS ANGELES","LAWNDALE ELEMENTARY",871,"880","YES","YES",59,"NO","22","29",318,149.76,0,"No",1,2,"K","33.890664","-118.338518"
"MARK TWAIN ELEMENTARY","LOS ANGELES","LYNWOOD UNIFIED",785,"764","YES","YES",83,"NO","30","31",449,207.84,0,"No",2,4,"Out","33.91265","-118.198022"
"MARK TWAIN SPECIAL CENTER","ORANGE","GARDEN GROVE UNIFIED",637,"657","NO","NO",71,"NO","10","10",31,11.04,0,"No",1,0,"I","33.79142","-117.935761"
"MARLTON","LOS ANGELES","LOS ANGELES UNIFIED",530,"543","YES","YES",79,"NO","14","11",200,65.28,0,"No",2,0,"E","34.00866","-118.343731"
"MARQUEZ AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",934,"929","NO","NO",11,"NO","21","24",390,185.28,0,"No",0,4,"Out","34.04582","-118.548011"
"MARSHALL (JOHN) ELEMENTARY","ORANGE","ANAHEIM CITY",766,"801","YES","YES",87,"NO","27","28",474,206.88,0,"No",2,4,"Out","33.84857","-117.954541"
"MARTHA BALDWIN ELEMENTARY","LOS ANGELES","ALHAMBRA UNIFIED",899,"918","YES","YES",72,"NO","25","31",850,386.4,0,"No",1,4,"Out","34.10643","-118.127061"
"MARTIN ELEMENTARY","ORANGE","SANTA ANA UNIFIED",767,"806","YES","YES",97,"NO","27","27",497,232.8,0,"No",3,4,"Out","33.73182","-117.878131"
"MARTIN LUTHER KING ELEMENTARY","LOS ANGELES","COMPTON UNIFIED",765,"727","YES","YES",77,"NO","20","25",355,163.2,0,"No",2,3,"H","33.921149","-118.230266"
"MARTIN LUTHER KING JR. ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",716,"752","YES","YES",99,"NO","22","24",302,136.8,0,"No",3,2,"C","34.01192","-118.308331"
"MARTIN LUTHER KING JR. ELEMENTARY","ORANGE","SANTA ANA UNIFIED",799,"816","YES","YES",97,"NO","28","27",522,243.84,1,"Yes",3,4,"Out","33.73513","-117.886721"
"MARTIN R. HENINGER ELEMENTARY","ORANGE","SANTA ANA UNIFIED",824,"834","YES","YES",98,"NO","30","28",567,260.16,0,"No",3,4,"Out","33.74472","-117.871731"
"MARVIN ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",794,"800","YES","YES",83,"NO","22","28",608,273.6,1,"Yes",2,4,"Out","34.03559","-118.364311"
"MATTIE LOU MAXWELL ELEMENTARY","ORANGE","MAGNOLIA ELEMENTARY",798,"782","YES","YES",100,"NO","25","31",510,230.88,0,"No",3,4,"Out","33.82587","-117.978191"
"MAUDE B. DAVIS ELEMENTARY","ORANGE","NEWPORT-MESA UNIFIED",939,"951","YES","NO",23,"NO","24","34",375,177.12,0,"No",0,4,"Out","33.67015","-117.901151"
"MAURICE SENDAK ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",812,"815","YES","YES",96,"NO","23","26",415,189.12,1,"Yes",3,4,"Out","34.17816","-118.379661"
"MAXSON ELEMENTARY","LOS ANGELES","MOUNTAIN VIEW ELEMENTARY",759,"758","YES","YES",2,"NO","31","32",435,198.24,1,"Yes",0,4,"Out","34.050191","-118.020604"
"MAXWELL ELEMENTARY","LOS ANGELES","DUARTE UNIFIED",772,"767","YES","YES",90,"NO","19","24",241,112.32,0,"No",2,1,"F","34.128673","-117.988389"
"MAYALL STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",860,"827","YES","YES",72,"NO","19","25",281,127.2,0,"No",1,1,"J","34.25463","-118.495681"
"MAYBERRY STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",781,"768","YES","YES",83,"NO","21","23",229,106.08,1,"Yes",2,1,"F","34.08389","-118.264601"
"MAYFLOWER ELEMENTARY","LOS ANGELES","MONROVIA UNIFIED",877,"869","YES","YES",42,"NO","29","33",406,188.64,0,"No",1,4,"Out","34.154338","-118.009577"
"MAYO ELEMENTARY","LOS ANGELES","COMPTON UNIFIED",783,"766","YES","YES",73,"NO","29","32",518,236.16,0,"No",1,4,"Out","33.903185","-118.213236"
"MAYWOOD ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",864,"872","YES","YES",100,"NO","22","25",306,138.24,0,"No",3,2,"C","33.99365","-118.184291"
"MCKINLEY","LOS ANGELES","PASADENA UNIFIED",802,"827","YES","YES",70,"NO","27","35",914,418.08,0,"No",1,4,"Out","34.139772","-118.135393"
"MCKINLEY AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",721,"726","YES","YES",100,"NO","22","25",535,238.08,0,"No",3,4,"Out","33.96796","-118.259671"
"MCKINLEY ELEMENTARY","LOS ANGELES","COMPTON UNIFIED",716,"724","YES","YES",70,"NO","19","24",270,120.96,0,"No",1,1,"J","33.900551","-118.262099"
"MCKINLEY ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",737,"765","YES","YES",94,"NO","29","31",453,198.72,0,"No",3,4,"Out","33.878746","-118.159014"
"MCKINLEY ELEMENTARY","LOS ANGELES","SAN GABRIEL UNIFIED",858,"849","YES","YES",74,"NO","28","28",434,198.24,0,"No",1,4,"Out","34.08328","-118.1024"
"MCKINLEY ELEMENTARY","LOS ANGELES","SANTA MONICA-MALIBU UNIFIED",883,"863","YES","YES",50,"NO","20","24",290,130.56,0,"No",1,2,"K","34.03169","-118.4764"
"MCPHERSON MAGNET","ORANGE","ORANGE UNIFIED",899,"921","YES","NO",19,"NO","31","29",734,348.96,0,"No",0,4,"Out","33.78296","-117.816141"
"MEADOW GREEN ELEMENTARY","LOS ANGELES","LOWELL JOINT",912,"914","YES","NO",34,"NO","28","34",327,152.64,0,"No",0,3,"P","33.921645","-117.98877"
"MEADOW PARK","ORANGE","IRVINE UNIFIED",939,"948","YES","YES",16,"NO","28","28",475,218.88,0,"No",0,4,"Out","33.671421","-117.808949"
"MEADOWLARK ELEMENTARY","LOS ANGELES","ACTON-AGUA DULCE UNIFIED",810,"808","YES","NO",38,"NO","30","29",255,115.68,0,"No",0,1,"N","34.47427","-118.185604"
"MEADOWS AVENUE ELEMENTARY","LOS ANGELES","MANHATTAN BEACH UNIFIED",961,"951","NO","NO",0,"NO","22","31",330,156.96,0,"No",0,3,"P","33.888877","-118.391068"
"MEADOWS ELEMENTARY","LOS ANGELES","NEWHALL",903,"885","YES","NO",17,"NO","22","26",459,212.16,0,"No",0,4,"Out","34.391454","-118.554876"
"MEAIRS ELEMENTARY","ORANGE","WESTMINSTER",814,"830","YES","YES",85,"YES","22","32",421,191.04,0,"No",2,4,"Out","33.76755","-117.982291"
"MELINDA HEIGHTS ELEMENTARY","ORANGE","SADDLEBACK VALLEY UNIFIED",921,"916","NO","NO",10,"NO","28","32",861,411.36,0,"No",0,4,"Out","33.657796","-117.614444"
"MELROSE AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",884,"882","YES","YES",69,"NO","21","25",235,112.32,0,"No",1,1,"J","34.08438","-118.345681"
"MELROSE ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",824,"789","YES","YES",98,"NO","17","23",376,169.44,0,"No",3,4,"Out","33.86018","-117.873441"
"MELVIN AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",786,"765","YES","YES",73,"NO","21","25",337,153.12,0,"No",1,3,"L","34.20991","-118.559111"
"MENLO AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",753,"783","YES","YES",85,"NO","21","23",399,177.6,0,"No",2,4,"Out","34.00782","-118.288831"
"MERCED ELEMENTARY","LOS ANGELES","WEST COVINA UNIFIED",906,"914","YES","YES",71,"NO","21","32",324,150.24,0,"No",1,2,"K","34.05485","-117.913741"
"MERLINDA ELEMENTARY","LOS ANGELES","WEST COVINA UNIFIED",872,"886","YES","YES",76,"NO","19","32",454,211.68,0,"No",1,4,"Out","34.0551","-117.924901"
"MERTON E. HILL ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",862,"865","YES","YES",63,"NO","22","30",309,136.8,0,"No",1,2,"K","33.75495","-117.960481"
"MERWIN ELEMENTARY","LOS ANGELES","COVINA-VALLEY UNIFIED",834,"812","YES","YES",84,"NO","20","25",269,124.32,0,"No",2,1,"F","34.096454","-117.930831"
"MESA ELEMENTARY","LOS ANGELES","COVINA-VALLEY UNIFIED",885,"882","YES","NO",45,"NO","21","27",418,191.04,0,"No",1,4,"Out","34.0846","-117.887"
"MESA ROBLES","LOS ANGELES","HACIENDA LA PUENTE UNIFIED",918,"921","YES","YES",44,"NO","20","31",931,436.8,0,"No",1,4,"Out","33.993113","-117.961015"
"MESQUITE ELEMENTARY","LOS ANGELES","PALMDALE ELEMENTARY",727,"726","YES","YES",87,"NO","29","26",660,282.72,0,"No",2,4,"Out","34.566451","-118.052233"
"MEYLER STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",745,"743","YES","YES",77,"NO","22","28",491,226.08,0,"No",2,4,"Out","33.8254","-118.295831"
"MICHELTORENA STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",741,"715","YES","YES",78,"NO","19","21",176,81.12,1,"Yes",2,0,"E","34.08856","-118.275631"
"MID-CITY'S PRESCOTT SCHOOL OF ENRICHED S","LOS ANGELES","LOS ANGELES UNIFIED",801,"819","YES","YES",71,"NO","21","31",235,109.44,1,"Yes",1,1,"J","34.032226","-118.318025"
"MIDDLETON STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",793,"763","YES","YES",86,"NO","23","27",1003,445.92,0,"No",2,4,"Out","33.97997","-118.228371"
"MILAGRO CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",885,"894","YES","YES",89,"NO","24","24",192,90.72,0,"No",2,0,"E","34.06661","-118.219813"
"MILDRED B. JANSON ELEMENTARY","LOS ANGELES","ROSEMEAD ELEMENTARY",872,"867","YES","YES",83,"NO","25","31",473,217.92,0,"No",2,4,"Out","34.074633","-118.080103"
"MILES AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",768,"803","YES","YES",88,"NO","23","28",770,355.2,0,"No",2,4,"Out","33.97782","-118.217971"
"MILL ELEMENTARY","LOS ANGELES","WHITTIER CITY ELEMENTARY",845,"838","YES","YES",58,"NO","30","32",286,134.88,0,"No",1,2,"K","34.015284","-118.042596"
"MINT CANYON COMMUNITY ELEMENTARY","LOS ANGELES","SULPHUR SPRINGS UNION",788,"814","YES","YES",69,"NO","24","27",386,169.92,0,"No",1,4,"Out","34.451317","-118.420108"
"MIRA CATALINA ELEMENTARY","LOS ANGELES","PALOS VERDES PENINSULA UNIFIED",919,"919","NO","NO",3,"NO","26","28",280,133.44,0,"No",0,2,"O","33.740436","-118.334828"
"MIRAMONTE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",708,"676","YES","YES",89,"NO","19","22",664,295.68,1,"Yes",2,4,"Out","33.97779","-118.250071"
"MIRAMONTE ELEMENTARY","LOS ANGELES","MOUNTAIN VIEW ELEMENTARY",722,"728","YES","YES",5,"NO","29","29",377,170.4,1,"Yes",0,4,"Out","34.05687","-118.040101"
"MITCHELL COMMUNITY ELEMENTARY","LOS ANGELES","SULPHUR SPRINGS UNION",848,"859","YES","YES",39,"NO","24","30",503,226.56,0,"No",1,4,"Out","34.42913","-118.46214"
"MITCHELL ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",810,"795","YES","YES",73,"NO","25","31",352,160.32,0,"No",1,3,"L","33.76765","-117.943391"
"MOFFETT ELEMENTARY","LOS ANGELES","LENNOX",800,"790","YES","YES",97,"NO","21","21",512,238.56,1,"Yes",3,4,"Out","33.935486","-118.349317"
"MONROE ELEMENTARY","LOS ANGELES","MONROVIA UNIFIED",775,"763","YES","YES",76,"NO","28","32",314,142.56,0,"No",1,2,"K","34.14567","-117.994771"
"MONROE ELEMENTARY","ORANGE","SANTA ANA UNIFIED",773,"825","YES","YES",96,"NO","27","27",299,135.36,0,"No",3,2,"C","33.71413","-117.863661"
"MONROE K-8","LOS ANGELES","LONG BEACH UNIFIED",800,"783","YES","YES",63,"NO","25","26",568,264.96,0,"No",1,4,"Out","33.837566","-118.103152"
"MONTAGUE CHARTER ACADEMY","LOS ANGELES","LOS ANGELES UNIFIED",792,"800","YES","YES",100,"YES","18","25",738,340.8,0,"No",3,4,"Out","34.243887","-118.414754"
"MONTARA AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",768,"747","YES","YES",85,"NO","22","22",603,280.8,1,"Yes",2,4,"Out","33.94447","-118.217871"
"MONTE VISTA ELEMENTARY","LOS ANGELES","GLENDALE UNIFIED",948,"951","NO","YES",10,"NO","24","36",420,194.88,1,"Yes",0,4,"Out","34.230427","-118.235791"
"MONTE VISTA ELEMENTARY","LOS ANGELES","LANCASTER ELEMENTARY",753,"778","YES","YES",77,"NO","27","26",607,254.88,1,"Yes",2,4,"Out","34.699271","-118.152731"
"MONTE VISTA ELEMENTARY","LOS ANGELES","MOUNTAIN VIEW ELEMENTARY",793,"805","YES","YES",5,"NO","31","32",552,248.64,1,"Yes",0,4,"Out","34.045818","-118.035727"
"MONTE VISTA ELEMENTARY","LOS ANGELES","WEST COVINA UNIFIED",842,"852","YES","YES",77,"NO","18","27",432,192.48,1,"Yes",2,4,"Out","34.0822","-117.940581"
"MONTE VISTA ELEMENTARY","ORANGE","SANTA ANA UNIFIED",752,"791","YES","YES",93,"NO","28","28",416,193.92,1,"Yes",3,4,"Out","33.737355","-117.897326"
"MONTE VISTA MIDDLE","LOS ANGELES","SOUTH WHITTIER ELEMENTARY",788,"776","YES","YES",82,"NO","N/A","32",346,157.44,0,"No",2,3,"H","33.9211","-118.0334"
"MONTE VISTA STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",748,"752","YES","YES",100,"NO","20","27",502,227.52,0,"No",3,4,"Out","34.1105","-118.198121"
"MONTEBELLO GARDENS ELEMENTARY","LOS ANGELES","MONTEBELLO UNIFIED",885,"890","YES","YES",100,"NO","32","31",250,110.88,0,"No",3,1,"B","34.00889","-118.089671"
"MONTEBELLO PARK ELEMENTARY","LOS ANGELES","MONTEBELLO UNIFIED",708,"739","YES","YES",100,"NO","33","33",473,219.84,0,"No",3,4,"Out","34.013752","-118.135437"
"MONTEMALAGA ELEMENTARY","LOS ANGELES","PALOS VERDES PENINSULA UNIFIED",947,"951","NO","NO",2,"NO","26","25",297,134.88,0,"No",0,2,"O","33.790892","-118.395097"
"MONTEREY HIGHLANDS ELEMENTARY","LOS ANGELES","ALHAMBRA UNIFIED",900,"880","YES","YES",60,"NO","24","35",746,348.48,0,"No",1,4,"Out","34.057652","-118.15518"
"MONTEREY HILLS ELEMENTARY","LOS ANGELES","SOUTH PASADENA UNIFIED",933,"939","NO","NO",17,"NO","19","31",410,192.96,0,"No",0,4,"Out","34.103847","-118.164574"
"MONTEREY VISTA ELEMENTARY","LOS ANGELES","GARVEY ELEMENTARY",898,"873","YES","YES",79,"NO","23","35",349,156.48,1,"Yes",2,3,"H","34.055652","-118.110017"
"MONTEVIDEO ELEMENTARY","ORANGE","SADDLEBACK VALLEY UNIFIED",871,"881","YES","NO",23,"NO","24","27",378,175.2,0,"No",0,4,"Out","33.612528","-117.668159"
"MONTVUE ELEMENTARY","LOS ANGELES","POMONA UNIFIED",679,"634","YES","YES",97,"NO","28","30",221,97.44,0,"No",3,0,"A","34.075622","-117.722478"
"MORNINGSIDE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",793,"800","YES","YES",100,"NO","24","27",493,225.12,0,"No",3,4,"Out","34.28785","-118.433351"
"MORNINGSIDE ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",838,"837","YES","YES",73,"NO","26","28",385,170.88,0,"No",1,4,"Out","33.75742","-117.945691"
"MORRIS K. HAMASAKI ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",756,"795","YES","YES",100,"NO","20","21",321,139.68,0,"No",3,2,"C","34.0377","-118.159931"
"MORSE AVENUE ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",843,"840","YES","YES",64,"NO","28","35",369,167.04,0,"No",1,3,"L","33.88467","-117.858141"
"MOULTON ELEMENTARY","ORANGE","CAPISTRANO UNIFIED",901,"918","NO","NO",14,"NO","29","31",490,224.16,0,"No",0,4,"Out","33.5286","-117.723821"
"MOUNTAIN AVENUE ELEMENTARY","LOS ANGELES","GLENDALE UNIFIED",944,"952","NO","YES",8,"NO","24","35",404,188.16,0,"No",0,4,"Out","34.224649","-118.228081"
"MOUNTAIN VIEW ELEMENTARY","LOS ANGELES","AZUSA UNIFIED",725,"718","YES","YES",92,"NO","24","34",295,137.28,0,"No",2,2,"G","34.11985","-117.916951"
"MOUNTAIN VIEW ELEMENTARY","LOS ANGELES","CLAREMONT UNIFIED",875,"878","YES","YES",58,"NO","23","33",332,153.6,0,"No",1,3,"L","34.105742","-117.729885"
"MOUNTAIN VIEW ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",901,"872","YES","YES",55,"NO","23","29",247,116.16,0,"No",1,1,"J","34.24828","-118.272391"
"MOUNTAINVIEW ELEMENTARY","LOS ANGELES","SAUGUS UNION",907,"924","NO","NO",7,"NO","27","32",719,333.6,0,"No",0,4,"Out","34.472148","-118.523185"
"MT. WASHINGTON ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",908,"908","NO","NO",19,"NO","22","31",224,105.12,0,"No",0,1,"N","34.1048","-118.216101"
"MUIR K-8","LOS ANGELES","LONG BEACH UNIFIED",808,"822","YES","YES",83,"NO","28","29",775,361.44,0,"No",2,4,"Out","33.812937","-118.210947"
"MULBERRY ELEMENTARY","LOS ANGELES","EAST WHITTIER CITY ELEMENTARY",868,"862","YES","YES",72,"NO","21","27",413,183.84,0,"No",1,4,"Out","33.945331","-118.029483"
"MULTICULTURAL LEARNING CENTER","LOS ANGELES","LOS ANGELES UNIFIED",791,"781","YES","YES",58,"NO","20","22",270,128.16,0,"No",1,1,"J","34.207075","-118.587974"
"MULTNOMAH STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",844,"834","YES","YES",100,"NO","20","26",343,158.88,0,"No",3,3,"D","34.06814","-118.193471"
"MURCHISON STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",730,"732","YES","YES",99,"NO","20","26",370,164.64,1,"Yes",3,3,"D","34.06013","-118.196021"
"MURPHY RANCH ELEMENTARY","LOS ANGELES","EAST WHITTIER CITY ELEMENTARY",937,"941","NO","NO",16,"NO","23","28",352,167.04,0,"No",0,3,"P","33.94731","-117.987061"
"MYFORD ELEMENTARY","ORANGE","TUSTIN UNIFIED",932,"950","NO","YES",10,"NO","24","32",596,265.44,0,"No",0,4,"Out","33.73562","-117.775951"
"N.E.W. ACADEMY CANOGA PARK","LOS ANGELES","LOS ANGELES UNIFIED",814,"829","YES","YES",93,"NO","20","25",310,145.92,0,"No",3,2,"C","34.206659","-118.598059"
"N.E.W. ACADEMY OF SCIENCE AND ARTS","LOS ANGELES","LOS ANGELES UNIFIED",797,"838","YES","YES",100,"NO","24","20",170,76.8,0,"No",3,0,"A","34.05906","-118.2667"
"NANCY CORY ELEMENTARY","LOS ANGELES","LANCASTER ELEMENTARY",775,"796","YES","YES",75,"NO","24","28",444,192.96,0,"No",1,4,"Out","34.670532","-118.1941"
"NAPA STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",812,"799","YES","YES",87,"NO","21","20",325,148.8,0,"No",2,2,"G","34.2255","-118.547341"
