"SNAME","CNAME","DNAME","API13","API12","SD_SIG","EL_SIG","MEALS","YR_RND","ACS_K3","ACS_46","ENROLL","PCST_E28","alreadyInRIF","aiRIFtxt","mealsQuant","pcst_e28Quant","letter","LAT","LONG"
"ANDRES AND MARIA CARDENAS ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",675,"703","YES","YES",100,"NO","23","26",363,158.4,0,"No",3,3,"D","34.19607","-118.441591"
"ANDRES DUARTE ELEMENTARY","LOS ANGELES","DUARTE UNIFIED",815,"819","YES","YES",85,"NO","20","27",253,117.12,0,"No",2,1,"F","34.136387","-117.95255"
"ANDREW JACKSON ELEMENTARY","ORANGE","SANTA ANA UNIFIED",759,"791","YES","YES",97,"NO","28","30",720,328.8,0,"No",3,4,"Out","33.73239","-117.908771"
"ANGELES MESA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",706,"684","YES","YES",100,"NO","21","21",277,113.76,0,"No",3,1,"B","33.99592","-118.321961"
"ANN STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",814,"780","YES","NO",100,"NO","22","25",88,37.44,0,"No",3,0,"A","34.06454","-118.230581"
"ANNA M. GLAZIER ELEMENTARY","LOS ANGELES","NORWALK-LA MIRADA UNIFIED",812,"830","YES","YES",78,"NO","27","30",352,157.44,0,"No",2,3,"H","33.894208","-118.101386"
"ANNALEE AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",724,"763","YES","NO",78,"NO","20","25",223,99.84,0,"No",2,0,"E","33.85418","-118.251861"
"ANNANDALE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",804,"814","YES","YES",100,"NO","21","24",222,100.8,0,"No",3,0,"A","34.12874","-118.186611"
"ANTELOPE ELEMENTARY","LOS ANGELES","KEPPEL UNION ELEMENTARY",733,"741","YES","YES",76,"NO","23","17",264,118.56,0,"No",1,1,"J","34.559012","-117.952704"
"ANZA ELEMENTARY","LOS ANGELES","TORRANCE UNIFIED",916,"918","NO","YES",10,"NO","29","28",419,194.88,0,"No",0,4,"Out","33.834208","-118.364739"
"APPERSON STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",875,"901","YES","NO",56,"NO","21","30",306,143.52,0,"No",1,2,"K","34.25511","-118.307731"
"APPLE ACADEMY CHARTER PUBLIC","LOS ANGELES","LOS ANGELES UNIFIED",708,"B","NO","NO",88,"NO","21","19",206,93.12,0,"No",2,0,"E","33.99874","-118.308301"
"ARAGON AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",757,"774","YES","YES",100,"NO","21","25",273,126.72,0,"No",3,1,"B","34.09485","-118.225531"
"ARARAT CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",877,"878","YES","YES",80,"NO","26","26",191,90.72,0,"No",2,0,"E","34.18997","-118.447011"
"ARBOLITA ELEMENTARY","ORANGE","LA HABRA CITY ELEMENTARY",855,"805","YES","YES",83,"NO","30","N/A",119,51.36,0,"No",2,0,"E","33.9437","-117.936381"
"ARLINGTON ELEMENTARY","LOS ANGELES","TORRANCE UNIFIED",885,"887","YES","YES",30,"NO","27","36",411,194.88,0,"No",0,4,"Out","33.868763","-118.317494"
"ARLINGTON HEIGHTS ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",739,"762","YES","YES",74,"NO","23","23",435,195.36,1,"Yes",1,4,"Out","34.04176","-118.326661"
"ARMA J. SHULL ELEMENTARY","LOS ANGELES","BONITA UNIFIED",933,"931","YES","NO",33,"NO","25","33",374,173.76,0,"No",0,4,"Out","34.116315","-117.820678"
"ARMINTA STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",756,"802","YES","YES",95,"NO","20","27",358,163.68,0,"No",3,3,"D","34.21478","-118.382601"
"ARMSTRONG ELEMENTARY","LOS ANGELES","POMONA UNIFIED",820,"868","YES","NO",51,"NO","28","28",279,126.72,0,"No",1,1,"J","34.021248","-117.818157"
"AROVISTA ELEMENTARY","ORANGE","BREA-OLINDA UNIFIED",884,"884","YES","YES",37,"NO","28","32",375,176.64,0,"No",0,4,"Out","33.91265","-117.910701"
"ARROYO ELEMENTARY","LOS ANGELES","POMONA UNIFIED",663,"694","YES","YES",97,"NO","29","29",482,209.76,0,"No",3,4,"Out","34.066759","-117.780911"
"ARROYO ELEMENTARY","ORANGE","TUSTIN UNIFIED",944,"952","NO","NO",4,"NO","24","36",424,200.64,0,"No",0,4,"Out","33.76647","-117.786291"
